Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,0.092131,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,0.084139,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,0.084743,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,0.083536,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,0.087004,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,0.087004,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,0.086251,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,0.086100,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,0.087909,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,0.091980,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,0.091980,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,0.089869,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,0.091076,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,0.088663,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,0.085949,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,0.082028,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,0.082632,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,0.083235,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,0.087758,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,0.084139,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,0.080219,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,0.079163,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,0.077354,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,0.077354,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,0.079013,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,0.081878,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,0.086251,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,0.086854,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,0.085949,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,0.081124,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,0.078410,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,0.075394,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,0.076600,65185000
2000-02-18,5370.000000,5630.000000,5160.000000,5300.000000,0.079917,108750000
2000-02-21,5200.000000,5260.000000,5030.000000,5070.000000,0.076449,26485000
2000-02-22,5000.000000,5240.000000,5000.000000,5120.000000,0.077203,24180000
2000-02-23,5220.000000,5260.000000,5100.000000,5140.000000,0.077505,27720000
2000-02-24,5120.000000,5240.000000,5060.000000,5070.000000,0.076449,26075000
2000-02-25,5080.000000,5150.000000,4980.000000,5120.000000,0.077203,27875000
2000-02-28,5000.000000,5050.000000,4800.000000,4800.000000,0.072378,30140000
2000-02-29,4900.000000,5140.000000,4840.000000,5120.000000,0.077203,51820000
2000-03-01,5120.000000,5120.000000,5120.000000,5120.000000,0.077203,0
2000-03-02,5880.000000,5880.000000,5520.000000,5880.000000,0.088663,117750000
2000-03-03,6200.000000,6250.000000,5880.000000,6000.000000,0.090473,140990000
2000-03-06,6000.000000,6050.000000,5600.000000,5640.000000,0.085044,39150000
2000-03-07,5600.000000,5640.000000,5480.000000,5620.000000,0.084743,30070000
2000-03-08,5520.000000,6000.000000,5500.000000,5920.000000,0.089266,32460000
2000-03-09,5970.000000,5980.000000,5620.000000,5620.000000,0.084743,55890000
2000-03-10,5790.000000,5800.000000,5520.000000,5540.000000,0.083536,28605000
2000-03-13,5480.000000,5490.000000,5160.000000,5180.000000,0.078108,32215000
2000-03-14,5170.000000,5380.000000,5160.000000,5210.000000,0.078560,30060000
2000-03-15,5200.000000,5400.000000,5120.000000,5400.000000,0.081425,46105000
2000-03-16,5480.000000,5520.000000,5360.000000,5400.000000,0.081425,28795000
2000-03-17,5540.000000,5560.000000,5400.000000,5480.000000,0.082632,24080000
2000-03-20,5600.000000,5710.000000,5530.000000,5660.000000,0.085346,26365000
2000-03-21,5700.000000,5940.000000,5610.000000,5880.000000,0.088663,44925000
2000-03-22,5960.000000,6300.000000,5880.000000,6200.000000,0.093488,86975000
2000-03-23,6480.000000,6580.000000,6200.000000,6200.000000,0.093488,64950000
2000-03-24,6320.000000,7120.000000,6180.000000,6800.000000,0.102536,90260000
2000-03-27,6960.000000,7040.000000,6700.000000,6800.000000,0.102536,67730000
2000-03-28,6900.000000,7260.000000,6820.000000,7030.000000,0.106004,74425000
2000-03-29,7030.000000,7680.000000,6980.000000,7660.000000,0.115503,78090000
2000-03-30,7520.000000,7560.000000,7050.000000,7050.000000,0.106305,74645000
2000-03-31,6800.000000,7070.000000,6650.000000,6700.000000,0.101028,63855000
2000-04-03,6920.000000,7320.000000,6860.000000,7100.000000,0.107059,56805000
2000-04-04,7000.000000,7290.000000,6660.000000,6800.000000,0.102536,58340000
2000-04-05,6800.000000,6800.000000,6800.000000,6800.000000,0.102536,0
2000-04-06,6860.000000,6960.000000,6680.000000,6680.000000,0.100726,47235000
2000-04-07,6860.000000,7260.000000,6780.000000,7200.000000,0.108567,42355000
